,Address,Listing Type,Asking Price,Bed/Bath Count
254,"19503 Brittany Creek Dr, Spring, TX 77388",House for sale,"$365,000","6 bds4 ba4,416 sqft"
255,"9903 Rocky Hollow Rd, La Porte, TX 77571",House for sale,"$199,000","4 bds2 ba1,864 sqft"
256,"154 E Bracebridge Cir, Spring, TX 77382",Auction,"$1,050,000","5 bds6 ba5,154 sqft"
257,"3215 Cumberland Ct, Missouri City, TX 77459",House for sale,"$269,900","5 bds4 ba4,175 sqft"
258,"10115 Sugar Hill Dr, Houston, TX 77042",House for sale,"$845,000","4 bds4 ba3,829 sqft"
259,"ST Andrews Dr LOT 14, New Ulm, TX 78950",Lot / Land for sale,"$25,000","8,398 sqft lot"
260,"23904 Arrowhead Point, New Caney, TX 77357",House for sale,"$747,500","4 bds4 ba3,663 sqft"
261,"1212 Night Owl Ct, Conroe, TX",New construction,"$379,280","4 bds4 ba2,799 sqft"
262,"5301 Vanner Path, Georgetown, TX 78626",House for sale,"$275,555","3 bds2 ba1,919 sqft"
263,"514 W Martin Luther King Dr, San Marcos, TX 78666",House for rent,"$1,065/mo",1 bd1 ba-- sqft
264,"27742 Post Oak Run, Magnolia, TX 77355",House for sale,"$1,000,000","6 bds8 ba7,496 sqft"
265,"10 N Fremont Ridge Loop, The Woodlands, TX 77389",House for sale,"$673,000","4 bds5 ba4,988 sqft"
266,"15603 Winmoss Ct, Houston, TX 77068",House for sale,"$289,900","5 bds4 ba3,602 sqft"
267,"24 Windermere Ln, Houston, TX 77063",House for sale,"$2,000,000","6 bds7 ba7,600 sqft"
268,"3102 Janet Dr, Amarillo, TX 79109",Townhouse for rent,$925/mo,"2 bds2 ba1,198 sqft"
269,"818 Royal Lakes Manor Blvd, Richmond, TX 77469",Lot / Land for sale,"$77,000",0.49 acres lot
270,"4706 Mellow Hollow Dr, Austin, TX 78744",House for rent,"$2,200/mo","4 bds2.5 ba2,912 sqft"
271,"0 Dewey St St, Waller, TX 77484",Lot / Land for sale,"$20,000","6,499 sqft lot"
272,"15 Hodge Btm, Onalaska, TX 77360",Lot / Land for sale,"$45,950",4.5 acres lot
273,"215 Watson St, Red Oak, TX 75154",House for sale,"$270,000","4 bds2 ba2,138 sqft"
274,"3529 Terry Dr, Plano, TX 75023",House for sale,"$605,000","5 bds3 ba4,412 sqft"
275,"3305 Mockingbird, Pharr, TX 78577",House for sale,"$145,000","3 bds2 ba1,380 sqft"
276,"1330 Old Spanish Trl APT 8203, Houston, TX 77054",Townhouse for sale,"$149,000",1 bd1 ba726 sqft
277,"1418 Lake Pauline Ct, Richmond, TX 77406",House for sale,"$250,000","4 bds2 ba2,431 sqft"
278,"1611 W 22nd St, Houston, TX 77008",Lot / Land for sale,"$295,000","5,649 sqft lot"
279,"1611 W 22nd St, Houston, TX 77008",Lot / Land for sale,"$295,000","5,649 sqft lot"
280,"1418 Lake Pauline Ct, Richmond, TX 77406",House for sale,"$250,000","4 bds2 ba2,431 sqft"
281,"826 Butterfield Trl, Tuscola, TX 79562",Lot / Land for sale,"$9,900",1.7 acres lot
282,"907 Cincinnati Ave, El Paso, TX 79902",House for rent,"$2,950/mo","5 bds3.5 ba3,894 sqft"
283,"9 Dawn Cir APT A, Longview, TX 75605",Townhouse for rent,$950/mo,"3 bds2 ba1,250 sqft"
284,"365 Armstrong Ln, Lavon, TX 75166",House for rent,"$1,450/mo","3 bds2 ba1,202 sqft"
285,"000 5th St, Hempstead, TX 77445",Lot / Land for sale,"$64,750",1 acre lot
286,"2705 Wisdom Creek Dr, Flower Mound, TX 75022",Coming soon,"$629,000","4 bds5 ba4,339 sqft"
287,"2301 5th St, Bay City, TX 77414",House for sale,"$154,900",3 bds2 ba1 sqft
288,"2715 Hidden Spring Falls Dr, Spring, TX 77386",House for sale,"$193,000","3 bds2 ba1,845 sqft"
289,"3106 Iron Crown Cir, Houston, TX 77068",House for sale,"$330,000","4 bds3 ba3,290 sqft"
290,"3415 Apache Meadows Dr, Baytown, TX 77521",Foreclosure,"$151,000","3 bds2 ba1,533 sqft"
291,"5339 Lincoln Green Dr, Katy, TX 77493",House for sale,"$239,900","5 bds3 ba2,411 sqft"
292,"16 Hodge Btm, Onalaska, TX 77360",Lot / Land for sale,"$45,950",4.5 acres lot
293,"107 Ajuga Ct, Lakeway, TX 78734",House for sale,"$539,900","3 bds3 ba2,280 sqft"
294,"0 Tanner Rd, Normangee, TX 77871",Lot / Land for sale,"$55,900",10.47 acres lot
295,"2202 Iola Ave, Lubbock, TX 79407",House for sale,"$79,950","4 bds2 ba1,296 sqft"
296,"12304 Abbey Park, San Antonio, TX 78249",House for rent,"$1,600/mo","3 bds2.5 ba1,975 sqft"
297,"Pahala Ct, Bastrop, TX 78602",For sale by owner,"$6,000",0.26 acres lot
298,"6263 County Road 430, Loraine, TX 79532",House for sale,"$148,000","2 bds2 ba1,506 sqft"
299,"550 Cr # 35500, Sumner, TX 75486",House for sale,"$197,000",4 bds2 ba-- sqft
300,"805 Gillette Blvd, San Antonio, TX 78224",For sale by owner,"$129,000",0.34 acres lot
301,"24110 Farm Hill Rd, Spring, TX 77373",House for rent,"$1,347/mo","4 bds2 ba1,611 sqft"
302,"351 Lippe Ln, Kyle, TX 78640",Home for sale,"$251,000","4 bds2 ba1,860 sqft"
303,"5222 Fairway Dr, San Angelo, TX 76904",House for sale,"$253,000","2 bds2 ba2,010 sqft"
304,"1602 Cascade Ct, Midland, TX 79703",House for sale,"$245,000","3 bds3 ba1,643 sqft"
305,"12226 Chena Lk, San Antonio, TX 78249",House for sale,"$339,900","3 bds2 ba1,926 sqft"
306,"1108 Northwood Cir, Nacogdoches, TX 75965",House for sale,"$249,500","3 bds3 ba2,571 sqft"
307,"0 Fm # 1376, Boerne, TX 78006",Lot / Land for sale,"$99,900",7.5 acres lot
308,"00 County Road 2109, Lometa, TX 76853",Lot / Land for sale,"$1,358,000",362.15 acres lot
309,"3637 Oak Lawn Ave, Dallas, TX 75219",House for sale,"$490,000","3 bds4 ba2,478 sqft"
310,"2308 Harvest Glen Ct, Fort Worth, TX 76108",House for sale,"$171,000","3 bds2 ba1,336 sqft"
311,"Tbd N Cr 810 LOT 3, Alvarado, TX 76009",Lot / Land for sale,"$50,000",1.06 acres lot
312,"1316 Fern Glen Trl, Dallas, TX 75241",House for sale,"$169,000","3 bds2 ba1,377 sqft"
313,"1310 Noble Way, Flower Mound, TX 75022",House for sale,"$1,633,000","5 bds7 ba7,153 sqft"
314,"5212 Townsend Dr, Flower Mound, TX 75028",House for sale,"$575,000","4 bds4 ba3,953 sqft"
315,"265 Odell Ct, Springtown, TX",New construction,"$332,350","4 bds2 ba2,410 sqft"
316,"116 Maudy Ln, Springtown, TX",New construction,"$340,950","3 bds3 ba2,450 sqft"
317,"285 Odell Ct, Springtown, TX",New construction,"$362,150","3 bds3 ba2,687 sqft"
318,"534 Cr # 4598, Boyd, TX 76023",Lot / Land for sale,"$1,811,250",120.75 acres lot
319,"21B Beech LOT 21B, Farmersville, TX 75442",Lot / Land for sale,"$35,000",0.3 acres lot
320,"212 Quail Run, Aubrey, TX 76227",House for rent,"$1,395/mo","3 bds2 ba1,315 sqft"
321,"2 Sheppard Ln, Lampasas, TX 76550",House for sale,"$195,000","4 bds2 ba1,743 sqft"
322,"108 Saint Andrews Ln, Aledo, TX 76008",For sale by owner,"$599,900","4 bds4 ba3,884 sqft"
323,"112 Maudy Ln, Springtown, TX",New construction,"$315,100","4 bds2 ba2,200 sqft"
324,"4329 Caplin Dr, Corpus Christi, TX 78410",House for rent,"$1,475/mo","4 bds2 ba1,546 sqft"
325,"Crystal Vw, Universal City, TX 78148",House for rent,"$1,780/mo","4 bds3.5 ba2,675 sqft"
326,"Studio, 1.0 bath, 400 sqft, $420, Apt.5",Apartment for rent,$420/mo,Studio1 ba400 sqft
327,"2715 Hibernia St, Dallas, TX 75204",House for rent,"$4,250/mo","2 bds1 ba1,465 sqft"
328,"2015 Santa Rita Ave, Laredo, TX 78040",House for sale,"$125,000","6 bds4 ba3,788 sqft"
329,"7316 John Mccain Rd, Colleyville, TX 76034",House for rent,"$2,195/mo","4 bds2 ba1,995 sqft"
330,"615 Fairview Rd, Pleasanton, TX 78064",House for sale,"$275,000","3 bds3 ba3,565 sqft"
331,"16535 Canyon Cross, San Antonio, TX 78232",House for sale,"$220,000","3 bds3 ba1,834 sqft"
332,"419 T C Jester Blvd, Houston, TX 77007",For sale by owner,"$434,900","3 bds3 ba1,788 sqft"
333,"00 County Road 2109, Lometa, TX 78653",House for sale,"$1,358,000",Studio-- ba-- sqft
334,"13306 Mitchell Dr, Socorro, TX 79928",House for sale,"$109,900","4 bds2 ba1,413 sqft"
335,"401 Main St # 110, Brownwood, TX 76801",Apartment for rent,$500/mo,2 bds1 ba714 sqft
336,"5721 Headquarters Dr, Plano, TX 75024",Townhouse for rent,"$5,000/mo","3 bds3.5 ba2,065 sqft"
337,"153 County Road 3594, Boyd, TX 76023",Lot / Land for sale,"$65,000",2.13 acres lot
338,"191 County Road 3594, Boyd, TX 76023",Lot / Land for sale,"$65,000",2.13 acres lot
339,"175 County Road 3594, Boyd, TX 76023",Lot / Land for sale,"$65,000",2.13 acres lot
340,"2818 Wilbur Dr, Amarillo, TX 79110",House for sale,"$144,000","2 bds2 ba1,450 sqft"
341,"153 Doral Dr, Brownsville, TX 78526",Apartment for rent,"$1,300/mo","3 bds2.5 ba1,531 sqft"
342,"2700 Cumberland Trl, Balch Springs, TX 75181",House for sale,"$260,000","4 bds3 ba2,764 sqft"
343,"2217 Melrose St, Abilene, TX 79605",House for sale,"$85,000",2 bds1 ba828 sqft
344,"3237 Ryan Ave, Fort Worth, TX 76110",House for sale,"$119,900","3 bds2 ba1,098 sqft"
345,"604 Fort Worth St, Mansfield, TX 76063",House for rent,"$1,549/mo","3 bds2 ba1,400 sqft"
346,"460 Delgany Trl, Haslet, TX 76052",House for sale,"$263,000","4 bds3 ba2,516 sqft"
347,"4216 Longleaf Ln, Fort Worth, TX 76137",House for sale,"$215,000","3 bds2 ba1,654 sqft"
348,"3118 128th St, Lubbock, TX 79423",House for sale,"$264,000","4 bds2 ba2,022 sqft"
349,"1302 Clegg St, Howe, TX 75459",House for sale,"$203,000","3 bds2 ba1,561 sqft"
350,"314 S 7th St, Memphis, TX 79245",House for sale,"$59,000","3 bds2 ba2,031 sqft"
351,"130 County Road 2664, Moore, TX 78057",Home for sale,"$159,999","3 bds2 ba1,456 sqft"
352,"335 & 341 River Cliff Pl, Spring Branch, TX 78070",Lot / Land for sale,"$599,900",12.86 acres lot
353,"6930 Blarney St # 18, Beaumont, TX 77706",For sale by owner,"$245,000","3 bds3 ba2,244 sqft"
354,"00 Hwy 29, Liberty Hill, TX 78642",Lot / Land for sale,"$1,344,750",53.79 acres lot
355,"4204 Mojave Dr, Granbury, TX 76049",House for rent,"$1,750/mo","3 bds2 ba2,077 sqft"
356,"2418 Button Willow Ave, Abilene, TX 79606",House for rent,"$1,295/mo","3 bds2 ba1,723 sqft"
357,"6910 Thunderbird Dr, Arlington, TX 76002",House for rent,"$1,850/mo","4 bds2 ba2,136 sqft"
358,"371 Lippe Ln, Kyle, TX 78640",Home for sale,"$248,000","4 bds2 ba1,680 sqft"
359,"458 Lippe Ln, Kyle, TX 78640",Home for sale,"$248,000","3 bds2 ba1,440 sqft"
360,"Lot 6 County Rd 178 LOT 6, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
361,"Lot 3 County Rd 178 LOT 3, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
362,"Lot 2 County Rd 178 LOT 2, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
363,"9281 Westwood Village Dr, Houston, TX 77036",For sale by owner,"$163,990","3 bds3 ba1,874 sqft"
364,"1934 Andrews Dr, Corpus Christi, TX 78416",House for rent,"$1,295/mo","3 bds2 ba1,820 sqft"
365,"Thoroughbred Dr, Killeen, TX 76549",House for rent,"$1,100/mo","4 bds2 ba1,638 sqft"
366,"9719 Lauren Mist, San Antonio, TX 78251",House for sale,"$183,900","3 bds2 ba1,496 sqft"
367,"3334 Canyon Creek Dr, San Angelo, TX 76904",House for sale,"$207,500","3 bds2 ba1,850 sqft"
368,"12350 W Garrett Dr, Odessa, TX 79764",Lot / Land for sale,"$45,500",0.89 acres lot
369,"4016 Cactus Dr, Argyle, TX 76226",For sale by owner,"$269,000","3 bds2 ba1,805 sqft"
370,"8020 Brittani, Port Arthur, TX 77642",House for sale,"$305,990","3 bds3 ba2,430 sqft"
371,"8020 Brittani, Port Arthur, TX 77642",House for sale,"$305,990","3 bds3 ba2,430 sqft"
372,"12 Altos Dr, Tornillo, TX 79853",For sale by owner,"$10,675",5 acres lot
373,"7101 Alameda Ave APT 3, El Paso, TX 79915",Apartment for rent,$600/mo,2 bds1 ba450 sqft
374,"County Road 127, Wills Point, TX 75169",For sale by owner,"$37,000",1.41 acres lot
375,"201 Trellis Blvd, Leander, TX 78641",For sale by owner,"$249,990","3 bds3 ba1,469 sqft"
376,"2012 Lake Omega St APT A, El Paso, TX 79936",Condo for rent,$675/mo,2 bds1 ba763 sqft
377,"200 Patriot Way, Texarkana, TX 75501",House for sale,"$252,900","3 bds2 ba2,214 sqft"
378,"1292 Desierto Seco Dr, El Paso, TX 79912",House for rent,"$1,450/mo","3 bds2 ba1,701 sqft"
379,"1503 W College St, Canton, TX 75103",House for sale,"$338,500","3 bds3 ba2,801 sqft"
380,"401 Shady Valley Dr, Aledo, TX 76008",House for sale,"$230,000","3 bds2 ba1,706 sqft"
381,"2503 Avonhill Dr, Arlington, TX 76015",House for sale,"$185,000","3 bds2 ba1,581 sqft"
382,"223 Brownwood Ct, Irving, TX 75060",Apartment for rent,"$1,145/mo","2 bds1.5 ba1,230 sqft"
383,"3928 Irish Setter Dr, Fort Worth, TX 76123",House for rent,"$2,750/mo","6 bds3 ba2,904 sqft"
384,"4634 Trevor Trl, Grapevine, TX 76051",Townhouse for rent,"$3,400/mo","4 bds4.5 ba3,351 sqft"
385,"2933 Eagles Nest Dr, Bedford, TX 76021",House for rent,"$1,850/mo","2 bds2.5 ba1,674 sqft"
386,"1 Tyler Ln, Hooks, TX 75561",House for sale,"$249,900","4 bds2 ba1,981 sqft"
387,"0000 Louisiana Rd, Santa Rosa, TX 78593",Lot / Land for sale,"$213,360",35.56 acres lot
388,"221 Lexington Ave APT 106, San Antonio, TX 78215",Condo for sale,"$218,000",1 bd1 ba770 sqft
389,"9969 Honey Locust Ln, El Paso, TX 79924",House for rent,$795/mo,"3 bds2 ba1,103 sqft"
390,"1515 Janis Drive 1515-b Janis Dr, Killeen, TX 76549",Townhouse for rent,$600/mo,2 bds1 ba756 sqft
391,"5303 68th St, Lubbock, TX 79424",House for rent,"$1,600/mo","3 bds2 ba2,100 sqft"
392,"Engamore Dr, Ivanhoe, TX 75979",For sale by owner,"$4,900",0.32 acres lot
393,"1303 Larkspur Ln, Tyler, TX 75703",House for rent,"$1,450/mo","3 bds2 ba1,880 sqft"
394,"302 SW 2nd St, Seminole, TX 79360",House for sale,"$210,000","4 bds2 ba1,892 sqft"
395,"637 Sheridan Dr, Corpus Christi, TX 78412",House for rent,$995/mo,"4 bds3 ba1,917 sqft"
396,"Tract 6 County Road 2773, Lometa, TX 76853",Lot / Land for sale,"$129,000",24 acres lot
397,"6211 Aires Dr, Arlington, TX 76001",House for rent,"$1,550/mo","3 bds2 ba1,297 sqft"
398,"CR 108 County Rd # 108, Seminole, TX 79360",House for sale,"$479,000","4 bds4 ba3,509 sqft"
399,"0000 State Hwy # 107, Santa Rosa, TX 78593",Lot / Land for sale,"$120,000",12 acres lot
400,"2207 Haine Dr, Harlingen, TX 78550",House for sale,"$149,900","5 bds3 ba2,574 sqft"
401,"2533 Cheyenne Ln, Crowley, TX 76036",For sale by owner,"$409,000","4 bds4 ba2,311 sqft"
402,"1904 Billie Dr, Dallas, TX 75232",House for rent,"$1,400/mo","3 bds2 ba1,350 sqft"
403,"6905 Crane Rd, North Richland Hills, TX 76182",House for sale,"$279,900","3 bds2 ba1,500 sqft"
404,"3313 Damsel Sauvage Ln, Lewisville, TX 75056",House for rent,"$3,392/mo","3 bds2.5 ba2,606 sqft"
405,"413 S Meredith Ave, Dumas, TX 79029",House for sale,"$130,500",2 bds1 ba856 sqft
406,"7880 Kaiyute Rd, Orange, TX 77632",House for rent,"$1,500/mo","3 bds2 ba1,445 sqft"
407,"505 Caddell St, Aubrey, TX 76227",House for sale,"$199,000","3 bds2 ba1,640 sqft"
408,"3521 NE 21st Ave, Amarillo, TX 79107",House for rent,$725/mo,3 bds1 ba924 sqft
409,"360 County Road 422d, Hanis, TX 78850",Home for sale,"$119,000","3 bds2 ba1,056 sqft"
410,"504 Lippe Ln, Kyle, TX 78640",Home for sale,"$260,000","4 bds2 ba1,800 sqft"
411,"5702 Coastal Way, Houston, TX 77085",House for rent,"$1,485/mo","4 bds2.5 ba1,590 sqft"
412,"307 S Oaklawn Dr, Wink, TX 79789",House for sale,"$75,000",2 bds1 ba768 sqft
413,"109 Sherry Lynn Dr, China Spring, TX 76633",House for rent,"$1,950/mo","4 bds3 ba2,496 sqft"
414,"6922 Green Hills Rd, Gilmer, TX 75645",Foreclosure,"$140,000","3 bds3 ba3,125 sqft"
415,"6229 Winnebago Ct, Fort Worth, TX 76179",House for rent,"$1,495/mo","3 bds2 ba1,595 sqft"
416,"0 SW Gulf Blvd N, South Padre Island, TX 78597",Lot / Land for sale,"$550,000","10,001 sqft lot"
417,"1634 Starcke St, Seguin, TX 78155",House for sale,"$83,000",3 bds1 ba750 sqft
418,"226 Gazelle Leap, San Antonio, TX 78258",House for sale,"$430,000","4 bds4 ba3,193 sqft"
419,"220 Valona Loop, Round Rock, TX 78681",House for rent,"$1,625/mo","3 bds2 ba1,613 sqft"
420,"759 Shady Loop, Killeen, TX 76549",Foreclosure,"$140,000","3 bds2 ba1,568 sqft"
421,"7602 Patricia Ln, Abilene, TX 79606",House for rent,"$1,195/mo","3 bds2 ba1,157 sqft"
422,"7605 Marlborough Dr W, Fort Worth, TX 76134",Coming soon,"$160,000","3 bds2 ba1,589 sqft"
423,"5751 Greenhouse Rd, Katy, TX 77449",Apartment for rent,"$1,250/mo","2 bds2 ba1,274 sqft"
424,"349 Otono Loop, Kyle, TX 78640",House for sale,"$219,000","3 bds2 ba2,106 sqft"
425,"307 S Ennis St, Bryan, TX 77803",House for sale,"$146,900","4 bds2 ba1,348 sqft"
426,"3596 Open Range Ct, Bryan, TX 77808",House for sale,"$239,900","3 bds2 ba1,860 sqft"
427,"108 Tillery St # 1, Austin, TX 78702",Condo for sale,"$715,000","4 bds4 ba1,745 sqft"
428,"209 E Burnett St, Calvert, TX 77837",Lot / Land for sale,"$29,900",0.4 acres lot
429,"1728 Glenn Dr, Blue Mound, TX 76131",House for rent,"$1,095/mo",3 bds1 ba816 sqft
430,"3605 Darnell Dr, Paris, TX 75462",House for sale,"$285,000","4 bds3 ba2,944 sqft"
431,"3210 Goldsboro St, San Antonio, TX 78230",House for sale,"$646,000","5 bds5 ba4,301 sqft"
432,"7811 Hedrick Farm, San Antonio, TX 78239",House for sale,"$199,000","3 bds3 ba2,175 sqft"
433,"441 Royal Crown Rd, Horizon City, TX 79928",House for sale,"$215,750","4 bds2 ba1,800 sqft"
434,"6902 Silverbell Ln, Amarillo, TX 79124",House for sale,"$290,000","3 bds2 ba2,153 sqft"
435,"0 County Road 225 Rd, Bluffton, TX 78607",Lot / Land for sale,"$300,000",3.75 acres lot
436,"408 Cedar Mound Pass, Cedar Park, TX 78613",House for sale,"$294,990","4 bds3 ba2,452 sqft"
437,"2811 Thackery Grv, San Antonio, TX",New construction,"$235,000","4 bds2 ba1,703 sqft"
438,"3405 King Yon Way, Lewisville, TX 75056",House for rent,"$2,900/mo","3 bds2.5 ba2,309 sqft"
439,"3820 Vienna St, Irving, TX 75038",Townhouse for rent,"$1,800/mo","2 bds2.5 ba2,160 sqft"
440,"2206 Crossmill Ln, Katy, TX 77450",Coming soon,"$238,900","4 bds3 ba2,208 sqft"
441,"3414 San Vicente Ln, Katy, TX 77450",Coming soon,"$298,900","4 bds3 ba2,840 sqft"
442,"2210 Bassett Ave, El Paso, TX 79901",House for sale,"$135,000","3 bds2 ba1,726 sqft"
443,"4614 Alamosa Dr, Dallas, TX 75232",House for sale,"$136,900","3 bds2 ba1,073 sqft"
444,"1010 Payton Ln, Euless, TX 76040",House for sale,"$429,700","4 bds3 ba2,784 sqft"
445,"724 J Marie Ct, Crowley, TX 76036",House for sale,"$315,500","3 bds2 ba1,847 sqft"
446,"50 County Road 3357, Sulphur Bluff, TX 75481",House for sale,"$130,000","3 bds1 ba1,450 sqft"
447,"3513 Hilltop Ln, Plano, TX 75023",Apartment for sale,"$550,000","5 bds4 ba1,250 sqft"
448,"9660 Whitehurst Dr, Dallas, TX 75243",House for sale,"$469,900","4 bds3 ba2,841 sqft"
449,"204 E Cherry St LOT 1-3, Olney, TX 76374",Lot / Land for sale,"$5,000","9,104 sqft lot"
450,"6501 Joyce Ln, Sherman, TX 75092",House for sale,"$425,000","4 bds4 ba3,196 sqft"
451,"3826 Junction Hwy, Ingram, TX 78025",House for sale,"$289,000","3 bds2 ba1,705 sqft"
452,"3826 Junction Hwy, Ingram, TX 78025",House for sale,"$289,000","3 bds2 ba1,705 sqft"
453,"12020 Swallow Dr, Austin, TX 78750",House for sale,"$304,900","3 bds2 ba1,464 sqft"
454,"2500 Fm 1331, Taylor, TX 76574",House for rent,$750/mo,"2 bds1 ba1,090 sqft"
455,"107 Jasmine St, Lake Jackson, TX 77566",House for sale,"$140,000","3 bds1 ba1,147 sqft"
456,"5522 Lockwood Bend Ln, Sugar Land, TX 77479",House for sale,"$848,800","5 bds6 ba5,052 sqft"
457,"21467 Rose Mill Dr, Kingwood, TX 77339",House for sale,"$215,000","4 bds2 ba2,315 sqft"
458,"5119 Noldale Dr, Houston, TX 77016",Foreclosure,"$66,000","3 bds2 ba1,502 sqft"
459,"4814 N Braeswood Blvd, Houston, TX 77096",House for sale,"$316,999","4 bds4 ba3,088 sqft"
460,"1505 Wilson Rd, Baytown, TX 77521",House for sale,"$189,000","3 bds2 ba1,575 sqft"
461,"Lots 23 24 Pinehurst Dr, New Ulm, TX 78950",Lot / Land for sale,"$38,500",0.27 acres lot
462,"10202 Longmont Dr, Houston, TX 77042",Townhouse for sale,"$175,000","2 bds3 ba1,258 sqft"
463,"1105 Sunset Dr, Trophy Club, TX 76262",House for rent,"$2,500/mo","4 bds2.5 ba2,422 sqft"
464,"2801 Brockbank Dr, Irving, TX 75062",House for rent,"$2,150/mo","3 bds2 ba1,912 sqft"
465,"3705 Shelley Ln, Rowlett, TX 75088",House for rent,"$1,850/mo","4 bds2 ba1,872 sqft"
466,"512 Main St, El Campo, TX 77437",House for sale,"$82,000","2 bds2 ba1,071 sqft"
467,"13818 Koala Bear Ct, Crosby, TX",New construction,"$263,990","5 bds4 ba2,883 sqft"
468,"8426 Chickamauga Ln, Houston, TX 77083",House for sale,"$399,500","4 bds4 ba3,871 sqft"
469,"8755 Bryam, Houston, TX 77061",Townhouse for sale,"$212,900","3 bds3 ba1,707 sqft"
470,"23969 Majestic Frst, New Caney, TX 77357",House for sale,"$525,000","4 bds4 ba4,238 sqft"
471,"27906 Silverstream Ct, Fulshear, TX 77441",House for sale,"$274,900","3 bds2 ba2,262 sqft"
472,"401 Wood Hvn, Livingston, TX",New construction,"$184,500","3 bds2 ba1,362 sqft"
473,"14 Hodge Btm, Onalaska, TX 77360",Lot / Land for sale,"$38,500",3 acres lot
474,"CR 108 Ne County Rd # 108, Seminole, TX 79360",House for sale,"$479,000","4 bds4 ba3,509 sqft"
475,"511 Fm 1651, Canton, TX 75103",House for sale,"$725,000","3 bds2 ba1,479 sqft"
476,"800 E Indiana Ave, Midland, TX 79701",Lot / Land for sale,"$45,000","7,013 sqft lot"
477,"217 Smith Cir, Lindale, TX 75771",House for sale,"$224,000","4 bds2 ba1,635 sqft"
478,"217 Smith Cir, Lindale, TX 75771",House for sale,"$224,000","4 bds2 ba1,635 sqft"
479,"1305 S Locust St, Clarksville, TX 75426",House for sale,"$94,900","3 bds3 ba2,111 sqft"
480,"1521 E 10th St, Odessa, TX 79761",House for rent,"$1,900/mo","3 bds1 ba1,202 sqft"
481,"11329 Newkirk St # 1044, Dallas, TX 75229",Townhouse for rent,"$1,400/mo","3 bds2 ba1,290 sqft"
482,"164 Grubbs Ln LOT 22, Gun Barrel City, TX 75156",Lot / Land for sale,"$35,000",1.37 acres lot
483,"6110 Victor St, Dallas, TX 75214",House for sale,"$379,000","3 bds1 ba1,822 sqft"
484,"3501 Lilac Dr, Aubrey, TX 76227",House for sale,"$308,000","4 bds3 ba2,628 sqft"
485,"1024 Castle Top Dr, Haslet, TX 76052",House for sale,"$199,000","3 bds2 ba1,444 sqft"
486,"4648 Waterway Dr N, Fort Worth, TX 76137",House for sale,"$164,000","3 bds2 ba1,507 sqft"
487,"2046 Royal Ln APT 1175, Dallas, TX 75229",Townhouse for rent,"$1,150/mo","2 bds1.5 ba1,018 sqft"
488,"Lot 3 County Road 178 LOT 3, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
489,"Lot 2 County Road 178 LOT 2, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.11 acres lot
490,"4 County Road 178, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
491,"5 County Road 178, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
492,"Lot 6 County Road 178 LOT 6, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
493,"22603 Tuwa Rd, Tomball, TX 77375",Home for rent,"$1,900/mo","3 bds2 ba1,792 sqft"
494,"2058 Royal Ln APT 2232, Dallas, TX 75229",Apartment for rent,"$1,025/mo",1 bd1 ba768 sqft
495,"6312 Gordon St, Frisco, TX 75034",Coming soon,"$335,000","3 bds4 ba3,072 sqft"
496,"2541 Hidden Creek Dr, Pearland, TX 77581",House for sale,"$289,000","4 bds3 ba2,851 sqft"
497,"3333 Allen Pkwy UNIT 1801, Houston, TX 77019",Condo for sale,"$999,999","2 bds2 ba2,192 sqft"
498,"Woodland Shores Dr LOT 344, Point Blank, TX 77364",Lot / Land for sale,"$44,900",0.81 acres lot
499,"211 S Marshall St, Midland, TX 79701",Lot / Land for sale,"$45,000","7,013 sqft lot"
500,"1 County Road 178, Gainesville, TX 76240",Lot / Land for sale,"$55,000",3.19 acres lot
501,"5903 Calaveras Way, San Antonio, TX",New construction,"$258,500","5 bds3 ba2,539 sqft"
502,"600 County Road 4843, Dilley, TX 78017",House for sale,"$730,750","5 bds8 ba4,100 sqft"
503,"2415 Camberly Vw, Converse, TX 78109",House for rent,"$1,690/mo","4 bds3 ba2,536 sqft"
504,"906 W 9th St, Idalou, TX 79329",For sale by owner,"$295,000","4 bds3 ba2,453 sqft"
505,"6 Timberwilde St, Texarkana, TX 75503",House for sale,"$500,000","4 bds4 ba3,080 sqft"
506,"4019 30th St, Lubbock, TX 79410",House for sale,"$150,000","5 bds2 ba2,050 sqft"
507,"13509 Wild Lilac Ct, Pearland, TX 77584",House for sale,"$305,000","4 bds4 ba3,458 sqft"
508,"3106 Lancrest Dr, San Antonio, TX 78224",House for rent,"$1,250/mo","3 bds2 ba1,098 sqft"
509,"942 Magnolia Smt, San Antonio, TX 78251",House for sale,"$205,000","3 bds2 ba1,794 sqft"
510,"948 Indigo Run Dr, Bulverde, TX 78163",House for sale,"$425,000","4 bds3 ba2,746 sqft"
511,"13806 Koala Bear Ct, Crosby, TX",New construction,"$242,990","4 bds3 ba2,593 sqft"
